epoch,phase,train_loss,val_loss,bleu4,rougeL,clinicalF1,total_params,trainable_params
0,QFormer-only,3.8461,1.9624,0.0000,0.0000,0.0000,78046720,17540096 
1,QFormer-only,2.0491,1.4828,0.0000,0.0000,0.0000,78046720,17540096 
2,QFormer-only,1.7273,1.3203,0.0000,0.0000,0.0000,78046720,17540096 
3,QFormer-only,1.6022,1.2480,0.0000,0.0000,0.0000,78046720,17540096 
4,QFormer-only,1.5264,1.1846,0.1634,0.3793,0.2573,78046720,17540096 
5,TopDecoder,1.3202,1.1290,0.0000,0.0000,0.0000,78046720,25931776 
6,TopDecoder,1.1637,1.0803,0.0000,0.0000,0.0000,78046720,25931776 
7,TopDecoder,1.0769,1.0376,0.0000,0.0000,0.0000,78046720,25931776 
8,TopDecoder,1.0173,1.0002,0.0000,0.0000,0.0000,78046720,25931776 
9,TopDecoder,0.9723,0.9674,0.1870,0.3906,0.2449,78046720,25931776 
10,TopDecoder,0.9346,0.9387,0.0000,0.0000,0.0000,78046720,25931776 
11,TopDecoder,0.9029,0.9135,0.0000,0.0000,0.0000,78046720,25931776 
12,TopDecoder,0.8758,0.8915,0.0000,0.0000,0.0000,78046720,25931776 
13,TopDecoder,0.8514,0.8721,0.0000,0.0000,0.0000,78046720,25931776 
14,TopDecoder,0.8290,0.8552,0.1939,0.3955,0.2630,78046720,25931776 
15,FullDecoder,0.7917,0.8403,0.0000,0.0000,0.0000,78046720,59165440 
16,FullDecoder,0.7463,0.8273,0.0000,0.0000,0.0000,78046720,59165440 
17,FullDecoder,0.7121,0.8096,0.0000,0.0000,0.0000,78046720,59165440 
18,FullDecoder,0.6836,0.7975,0.0000,0.0000,0.0000,78046720,59165440 
19,FullDecoder,0.6569,0.7865,0.1749,0.3807,0.2959,78046720,59165440 
20,FullDecoder,0.6326,0.7767,0.0000,0.0000,0.0000,78046720,59165440 
21,FullDecoder,0.6101,0.7688,0.0000,0.0000,0.0000,78046720,59165440 
22,FullDecoder,0.5891,0.7612,0.0000,0.0000,0.0000,78046720,59165440 
23,FullDecoder,0.5685,0.7587,0.0000,0.0000,0.0000,78046720,59165440 
24,FullDecoder,0.5491,0.7521,0.1907,0.4084,0.3310,78046720,59165440 
25,FullDecoder,0.5303,0.7464,0.0000,0.0000,0.0000,78046720,59165440 
26,FullDecoder,0.5124,0.7408,0.0000,0.0000,0.0000,78046720,59165440 
27,FullDecoder,0.4950,0.7364,0.0000,0.0000,0.0000,78046720,59165440 
28,FullDecoder,0.4774,0.7330,0.0000,0.0000,0.0000,78046720,59165440 
29,FullDecoder,0.4609,0.7296,0.1948,0.4105,0.3209,78046720,59165440 
30,FullDecoder,0.4445,0.7275,0.0000,0.0000,0.0000,78046720,59165440 
31,FullDecoder,0.4294,0.7260,0.0000,0.0000,0.0000,78046720,59165440 
32,FullDecoder,0.4140,0.7227,0.0000,0.0000,0.0000,78046720,59165440 
33,FullDecoder,0.4000,0.7108,0.0000,0.0000,0.0000,78046720,59165440 
34,FullDecoder,0.3863,0.7084,0.1987,0.4173,0.3681,78046720,59165440 
35,FullDecoder,0.3730,0.7106,0.0000,0.0000,0.0000,78046720,59165440 
36,FullDecoder,0.3612,0.7088,0.0000,0.0000,0.0000,78046720,59165440 
37,FullDecoder,0.3495,0.7218,0.0000,0.0000,0.0000,78046720,59165440 
38,FullDecoder,0.3395,0.7235,0.0000,0.0000,0.0000,78046720,59165440 
39,FullDecoder,0.3306,0.7385,0.2004,0.4057,0.3660,78046720,59165440 
